"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript", "JavaScript JSX", "CSS", "XML", "Django HTML", "Properties", "TypeScript JSX", "comment", "blank", "total"
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\dots.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\download.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-audio.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-csv.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 37
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-doc.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 37
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-document-light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-document.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-docx.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 37
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-image-light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-image.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-other-light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 23
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-other.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-pdf.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 30
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-svg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-txt.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 30
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-video-light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 22
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\file-video.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\grid.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\images.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\info.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\loader-brand.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\loader.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\logo-brand.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\logo-full-brand.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\logo-full.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\logout.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"d:\Websites\Prescripto\Cloud Storage\public\assets\icons\others.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
