"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "Docker", "XML", "JavaScript JSX", "YAML", "JSON with Comments", "Properties", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"d:\Websites\Prescripto\website\backend\models\prescriptionModel.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 62
"d:\Websites\Prescripto\website\backend\models\queueModel.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 49
"d:\Websites\Prescripto\website\backend\models\saleModel.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 134
"d:\Websites\Prescripto\website\backend\models\staffModel.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64
"d:\Websites\Prescripto\website\backend\models\subscriberModel.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"d:\Websites\Prescripto\website\backend\models\testimonialModel.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 45
"d:\Websites\Prescripto\website\backend\models\userModel.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 100
"d:\Websites\Prescripto\website\backend\models\userNotificationModel.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"d:\Websites\Prescripto\website\backend\models\vehicleModel.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75
"d:\Websites\Prescripto\website\backend\models\verificationLogModel.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\Websites\Prescripto\website\backend\models\verifiedUserModel.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"d:\Websites\Prescripto\website\backend\models\wardModel.js", "JavaScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 104
